Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Q1,Q2,Q3,Q4,Q5,Q6,END QUESTIONNAIRE
1,1.59175E+12,10/6/2020 0:48,1.59175E+12,-5,9/6/2020 19:52,14612,10,questionnaire-bwa4,,5538638,5c5a19299404f10001ff8cbf,1542939,,complete,,5ee02cfc69a880367b6e6412,computer,Desktop or Laptop,Windows 10,Opera 68.0.3618.142,1366x768,1325x668,,Resiliency,2,2,4,3,3,2,4,17311
1,1.59175E+12,10/6/2020 0:48,1.59175E+12,-4,9/6/2020 20:48,14612,10,questionnaire-bwa4,,5538639,5eb4b5001cabb13244bd4836,1542944,,complete,,5ee02d3d5ae5f837275c0b60,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.97,1536x864,1536x711,,Resiliency,2,2,5,2,4,2,4,17665
1,1.59175E+12,10/6/2020 0:48,1.59175E+12,-4,9/6/2020 20:48,14612,10,questionnaire-bwa4,,5538644,5db4a409d27e05000f0eaa00,1542945,,complete,,5ee02d366b74c7399c0145de,computer,Desktop or Laptop,Chromium OS 13020.67.0,Chrome 83.0.4103.97,1366x768,1366x617,,Resiliency,2,5,1,4,2,4,1,18643
1,1.59175E+12,10/6/2020 0:49,1.59175E+12,-5,9/6/2020 19:49,14612,10,questionnaire-bwa4,,5538655,5e1bae98fd00423d9cb908d8,1542952,,complete,,5ee02d4521c28b37b7cb78e5,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.97,1280x720,1280x578,,Resiliency,2,3,2,2,4,4,2,18279
1,1.59175E+12,10/6/2020 0:49,1.59175E+12,-4,9/6/2020 20:49,14612,10,questionnaire-bwa4,,5538656,5eb24b26f30ede1a6ae46c14,1542940,,complete,,5ee02cf45c27ee37cc84e970,mobile,LG LS777,Android 7.0,Chrome 83.0.4103.96,360x640,360x520,,Resiliency,2,4,3,3,3,4,3,27930
1,1.59175E+12,10/6/2020 0:50,1.59175E+12,-4,9/6/2020 20:50,14612,10,questionnaire-bwa4,,5538665,5c97d5bb41502a0017b3aadf,1542957,,complete,,5ee02d49012a2137bfaae390,computer,Desktop or Laptop,Windows 10,Opera 68.0.3618.125,1366x768,1326x665,,Resiliency,2,2,3,2,3,3,2,15226
1,1.59175E+12,10/6/2020 0:50,1.59175E+12,-4,9/6/2020 20:50,14612,10,questionnaire-bwa4,,5538667,5c715e290a31ce00012fca49,1542948,,complete,,5ee02d428bebe93872b7d226,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1920x1080,1918x977,,Resiliency,2,4,3,4,2,2,5,22585
1,1.59175E+12,10/6/2020 0:51,1.59175E+12,-4,9/6/2020 20:47,14612,10,questionnaire-bwa4,,5538678,5e7acf46e6548e0bf03346c7,1542950,,complete,,5ee02d2f246eec3824da5cf5,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.97,1280x720,1280x610,,Resiliency,2,4,4,4,2,3,2,27177
1,1.59175E+12,10/6/2020 0:51,1.59175E+12,-4,9/6/2020 20:51,14612,10,questionnaire-bwa4,,5538683,5e7e93475caed456ffb84287,1542954,,complete,,5ee02d14dc572e37766aeca9,computer,Desktop or Laptop,Mac OS 10.13.2,Chrome 81.0.4044.122,1440x900,1175x678,,Resiliency,2,1,5,1,5,1,5,14598
1,1.59175E+12,10/6/2020 0:51,1.59175E+12,-6,9/6/2020 18:51,14612,10,questionnaire-bwa4,,5538692,5bdf667b3bfdb700011c3431,1542937,,complete,,5ee02d0c90b70937129f51f1,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 83.0.4103.61,1440x900,1391x651,,Resiliency,2,3,2,4,2,3,2,50861
1,1.59175E+12,10/6/2020 0:51,1.59175E+12,-6,9/6/2020 18:51,14612,10,questionnaire-bwa4,,5538698,5ea492e3b1b3620a6fee3b90,1542947,,complete,,5ee02d05ccca62395eebafb8,computer,Desktop or Laptop,Mac OS 10.14,Firefox 77.0,1440x900,981x713,,Resiliency,2,2,4,2,4,2,4,18768
1,1.59175E+12,10/6/2020 0:53,1.59175E+12,-5,9/6/2020 19:53,14612,10,questionnaire-bwa4,,5538722,5bc640334b3be500012d36aa,1542953,,complete,,5ee02d36dc572e381f0bd267,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1920x1080,1920x937,,Resiliency,2,2,4,2,4,2,4,27923
1,1.59175E+12,10/6/2020 0:55,1.59175E+12,-7,9/6/2020 17:55,14612,10,questionnaire-bwa4,,5538755,5ec04568a81ee00a81b7c877,1542942,,complete,,5ee02d096b74c73948d34956,computer,Desktop or Laptop,Windows 10,Edge 18.18362,1536x864,1536x751,,Resiliency,2,5,3,3,2,3,3,50496
1,1.59175E+12,10/6/2020 0:55,1.59175E+12,-5,9/6/2020 19:55,14612,10,questionnaire-bwa4,,5538756,5d3cbeefbaf11000011eda09,1542958,,complete,,5ee02d2890b709383578d47e,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 83.0.4103.61,1280x800,1280x689,,Resiliency,2,3,3,4,3,3,4,37411
1,1.59175E+12,10/6/2020 0:56,1.59175E+12,-4,9/6/2020 20:56,14612,10,questionnaire-bwa4,,5538767,5be5cdd83437f10001465f4c,1542934,,complete,,5ee02cedef09b4372a7d6bed,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1366x768,1366x625,,Resiliency,2,4,2,3,2,4,2,246643
1,1.59175E+12,10/6/2020 0:57,1.59175E+12,-5,9/6/2020 19:57,14612,10,questionnaire-bwa4,,5538780,5df853af19232d5eb0ad1775,1542968,,complete,,5ee02f4709233c36f9b910bb,computer,Desktop or Laptop,Windows 10,Firefox 77.0,1920x1080,1920x938,,Resiliency,2,2,4,2,3,2,4,12594
1,1.59175E+12,10/6/2020 0:58,1.59175E+12,-4,9/6/2020 20:58,14612,10,questionnaire-bwa4,,5538781,5eb76a83ea17ff68dac3aa59,1542959,,complete,,5ee02d491c13d738e824617e,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 83.0.4103.97,1440x900,1424x673,,Resiliency,2,2,4,2,4,2,4,82442
1,1.59175E+12,10/6/2020 0:58,1.59175E+12,-4,9/6/2020 20:58,14612,10,questionnaire-bwa4,,5538788,5817fda1b780e20001f3577a,1542970,,complete,,5ee02f64b54d22383c2810ed,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.97,1536x864,1536x722,,Resiliency,2,4,3,2,2,3,2,21817
1,1.59175E+12,10/6/2020 1:00,1.59175E+12,-4,9/6/2020 21:00,14612,10,questionnaire-bwa4,,5538801,5dc38919dcc83f28ec7970a9,1542967,,complete,,5ee02f1034d68c38a81103af,computer,Desktop or Laptop,Chromium OS 12871.102.0,Chrome 81.0.4044.141,1200x750,1200x648,,Resiliency,2,4,4,4,2,2,3,26215
1,1.59175E+12,10/6/2020 1:18,1.59175E+12,-5,9/6/2020 20:18,14612,10,questionnaire-bwa4,,5538988,5ecaebb6cb2a1201f852fd14,1542986,,complete,,5ee02cf6c00853367a0dbb99,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 83.0.4103.61,1440x900,1397x707,,Resiliency,2,4,2,4,2,3,2,27382
1,1.59175E+12,10/6/2020 1:28,1.59175E+12,-5,9/6/2020 20:28,14612,10,questionnaire-bwa4,,5539097,55a75835fdf99b26395fae40,1542992,,complete,,5ee0348e281b76378e2d6552,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.97,1366x768,1366x625,,Resiliency,2,1,5,1,5,2,4,54113
1,1.59176E+12,10/6/2020 2:50,1.59176E+12,-4,9/6/2020 22:50,14612,10,questionnaire-bwa4,,5539598,5ec53e1c1fc1904b10347d75,1543174,,complete,,5ee046b036d2b838eaf4c9a0,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1280x720,1280x614,,Resiliency,2,4,2,4,2,4,2,14856
1,1.59176E+12,10/6/2020 3:26,1.59176E+12,-4,9/6/2020 23:26,14612,10,questionnaire-bwa4,,5540087,568f260a7d961b000d96976c,1543260,,complete,,5ee0505de880a53a60405edc,computer,Desktop or Laptop,Windows 7,Opera 68.0.3618.125,1366x768,1321x637,,Resiliency,2,3,4,2,4,2,2,18550
END OF FILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
